number	date
75	2015-09
221	2015-08
111	2015-07
69	2015-06
244	2015-05
56	2015-04
58	2015-03
254	2015-02
226	2015-01
159	2014-12
210	2014-11
48	2014-10
387	2014-09
36	2014-08
57	2014-07
19	2014-06
81	2014-05
27	2014-04
99	2014-03
219	2014-02
275	2014-01
60	2013-12
160	2013-11
193	2013-10
127	2013-09
150	2013-08
182	2013-07
192	2013-06
95	2013-05
297	2013-04
105	2013-03
142	2013-02
239	2013-01
175	2012-12
72	2012-11
213	2012-10
171	2012-09
232	2012-08
129	2012-07
33	2012-06
50	2012-05
41	2012-04
95	2012-03
15	2012-02
327	2012-01
182	2011-12
103	2011-11
81	2011-10
29	2011-09
23	2011-08
39	2011-07
113	2011-06
220	2011-05
212	2011-04
384	2011-03
410	2011-02
203	2011-01
190	2010-12
181	2010-11
77	2010-10
83	2010-09
33	2010-08
96	2010-07
121	2010-06
109	2010-05
30	2010-04
89	2010-03
54	2010-02
20	2010-01
6	2009-12
151	2009-11
114	2009-10
18	2009-09
33	2009-08
75	2009-07
52	2009-06
64	2009-05
111	2009-04
91	2009-03
96	2009-02
118	2009-01
41	2008-12
